time,closing_door,left_step,opening_door,right_step,saluting,sitting_down,standing_up
0.0110446,0,0,0,0,0.981,0,0.373
0.0222394,0,0,0,0,0.981,0,0.373
0.0337063,0,0,0,0,0.981,0,0.373
0.0498172,0,0,0,0,0.982,0,0.373
0.0576779,0,0,0,0,0.975,0,0.373
0.06574021,0,0,0,0,0.975,0,0.373
0.07235411,0,0,0,0,0.975,0,0.373
0.07860701,0,0,0,0,0.975,0,0.373
0.08841961,0,0,0,0,0.975,0,0.373
0.1001235,0,0,0,0,0.975,0,0.373
0.1072388,0,0,0,0,0.975,0,0.373
0.1144893,0,0,0,0,0.975,0,0.373
0.1236917,0,0,0,0,0.974,0,0.373
0.1321475,0,0,0,0,0.974,0,0.373
0.1395424,0,0,0,0,0.974,0,0.373
0.1483087,0,0,0,0,0.974,0,0.373
0.1562376,0,0,0,0,0.974,0,0.373
0.1635962,0,0,0,0,0.974,0,0.373
0.170997,0,0,0,0,0.974,0,0.373
0.1783213,0,0,0,0,0.974,0,0.373
0.1864044,0,0,0,0,0.974,0,0.373
0.1932547,0,0,0,0,0.974,0,0.373
0.1998399,0,0,0,0,0.974,0,0.373
0.2076531,0,0,0,0,0.974,0,0.373
0.2171059,0,0,0,0,0.974,0,0.373
0.2249792,0,0,0,0,0.974,0,0.373
0.2342688,0,0,0,0,0.974,0,0.373
0.2427629,0,0,0,0,0.974,0,0.373
0.2520725,0,0,0,0,0.974,0,0.373
0.2604536,0,0,0,0,0.974,0,0.373
0.2688589,0,0,0,0,0.974,0,0.373
0.2776631,0,0,0,0,0.974,0,0.373
0.291739,0,0,0,0,0.974,0,0.373
0.2997386,0,0,0,0,0.974,0,0.373
0.3083154,0,0,0,0,0.974,0,0.373
0.3159562,0,0,0,0,0.974,0,0.373
0.3248884,0,0,0,0,0.974,0,0.373
0.3315856,0,0,0,0,0.974,0,0.373
0.340689,0,0,0,0,0.974,0,0.373
0.3490098,0,0,0,0,0.974,0,0.373
0.3575521,0,0,0,0,0.974,0,0.373
0.3659617,0,0,0,0,0.974,0,0.373
0.375079,0,0,0,0,0.974,0,0.373
0.3849181,0,0,0,0,0.974,0,0.373
0.3930273,0,0,0,0,0.974,0,0.373
0.4012658,0,0,0,0,0.974,0,0.373
0.4104513,0,0,0,0,0.974,0,0.373
0.4180929,0,0,0,0,0.974,0,0.373
0.4264678,0,0,0,0,0.974,0,0.373
0.4346878,0,0,0,0,0.974,0,0.373
0.4440119,0,0,0,0,0.974,0,0.373
0.452126,0,0,0,0,0.974,0,0.373
0.4607898,0,0,0,0,0.974,0,0.373
0.4688549,0,0,0,0,0.974,0,0.373
0.4816704,0,0,0,0,0.974,0,0.373
0.4913433,0,0,0,0,0.974,0,0.373
0.5001969,0,0,0,0,0.974,0,0.373
0.5079898,0,0,0,0,0.974,0,0.373
0.5155963,0,0,0,0,0.974,0,0.373
0.5230052,0,0,0,0,0.974,0,0.373
0.5318878,0,0,0,0,0.974,0,0.361
0.540278,0,0,0,0,0.974,0,0.361
0.5497505,0,0,0,0,0.95,0,0.361
0.5580273,0,0,0,0,0.954,0,0.361
0.5653988,0,0,0,0,0.954,0,0.361
0.5736817,0,0,0,0,0.954,0,0.361
0.5824196,0,0,0,0,0.954,0,0.361
0.5910666,0,0,0,0,0.954,0,0.361
0.5996205,0,0,0,0,0.954,0,0.361
0.6089443,0,0,0,0,0.954,0,0.361
0.6166383,0,0,0,0,0.954,0,0.361
0.6254573,0,0,0,0,0.954,0,0.361
0.6359132,0,0,0,0,0.954,0,0.361
0.6449136,0,0,0,0,0.954,0,0.361
0.6529106,0,0,0,0,0.966,0,0.361
0.6649972,0,0,0,0,0.966,0,0.361
0.6728791,0,0,0,0,0.966,0,0.361
0.6805773,0,0,0,0,0.966,0,0.361
0.6880937,0,0,0,0,0.966,0,0.361
0.6946321,0,0,0,0,0.966,0,0.361
0.7026517,0,0,0,0,0.966,0,0.361
0.7104846,0,0,0,0,0.966,0,0.361
0.7196229,0,0,0,0,0.966,0,0.361
0.7290112,0,0,0,0,0.966,0,0.361
0.7366995,0,0,0,0,0.966,0,0.361
0.7456596,0,0,0,0,0.966,0,0.361
0.7550956,0,0,0,0,0.966,0,0.361
0.7626942,0,0,0,0,0.966,0,0.361
0.7712286,0,0,0,0,0.966,0,0.361
0.7799764,0,0,0,0,0.966,0,0.361
0.7885338,0,0,0,0,0.966,0,0.361
0.7974123,0,0,0,0,0.966,0,0.361
0.8068422,0,0,0,0,0.966,0,0.361
0.8148279,0,0,0,0,0.966,0,0.361
0.8241741,0,0,0,0,0.966,0,0.361
0.8323339,0,0,0,0,0.966,0,0.361
0.8418278,0,0,0,0,0.966,0,0.361
0.8503408,0,0,0,0,0.966,0,0.361
0.8623568,0,0,0,0,0.966,0,0.361
0.870064,0,0,0,0,0.966,0,0.361
0.8781149,0,0,0,0,0.966,0,0.361
0.8867345,0,0,0,0,0.966,0,0.361
0.8951579,0,0,0,0,0.966,0,0.361
0.9034221,0,0,0,0,0.966,0,0.361
0.9110733,0,0,0,0,0.966,0,0.361
0.9193971,0,0,0,0,0.966,0,0.361
0.9285548,0,0,0,0,0.966,0,0.361
0.9367071,0,0,0,0,0.966,0,0.361
0.9459521,0,0,0,0,0.966,0,0.361
0.9542342,0,0,0,0,0.966,0,0.359
0.964281,0,0,0,0,0.966,0,0.359
0.9716744,0,0,0,0,0.966,0,0.359
0.9805361,0,0,0,0,0.966,0,0.359
0.9897037,0,0,0,0,0.966,0,0.359
0.9989671,0,0,0,0,0.966,0,0.359
1.006806,0,0,0,0,0.966,0,0.359
1.016355,0,0,0,0,0.966,0,0.359
1.024448,0,0,0,0,0.966,0,0.359
1.032822,0,0,0,0,0.966,0,0.359
1.042964,0,0,0,0,0.966,0,0.359
1.051045,0,0,0,0,0.966,0,0.359
1.062861,0,0,0,0,0.966,0,0
1.072693,0,0,0,0,0.966,0,0
1.079675,0,0,0,0,0.966,0,0
1.086713,0,0,0,0,0.966,0,0
1.093698,0,0,0,0,0.966,0,0
1.102429,0,0,0,0,0.966,0,0
1.11088,0,0,0,0,0.966,0,0
1.120722,0,0,0,0,0.966,0,0
1.128721,0,0,0,0,0.966,0,0
1.142489,0,0,0,0,0.966,0,0
1.150571,0,0,0,0,0.966,0,0
1.158158,0,0,0,0,0.966,0,0
1.167413,0,0,0,0,0.953,0,0
1.176239,0,0,0,0,0.953,0,0
1.184502,0,0,0,0,0.953,0,0
1.194245,0,0,0,0,0.953,0,0
1.202101,0,0,0,0,0.953,0,0
1.210354,0,0,0,0,0.953,0,0
