time,closing_door,left_step,opening_door,right_step,saluting,sitting_down,standing_up
0.0102463,0,0,0,0,0.952,0,0
0.0217999,0,0,0,0,0.952,0,0
0.0333863,0,0,0,0,0.952,0,0
0.0424795,0,0,0,0,0.952,0,0
0.0508726,0,0,0,0,0.952,0,0
0.0579481,0,0,0,0,0.952,0,0
0.06429049,0,0,0,0,0.952,0,0
0.0708323,0,0,0,0,0.952,0,0
0.0784158,0,0,0,0,0.952,0,0
0.0865951,0,0,0,0,0.951,0,0
0.09401169,0,0,0,0,0.952,0,0
0.1027272,0,0,0,0,0.952,0,0
0.1113536,0,0,0,0,0.952,0,0
0.1211222,0,0,0,0,0.952,0,0
0.1350578,0,0,0,0,0.952,0,0
0.1466551,0,0,0,0,0.952,0,0
0.155065,0,0,0,0,0.952,0,0
0.1662748,0,0,0,0,0.952,0,0
0.1734837,0,0,0,0,0.952,0,0
0.1800506,0,0,0,0,0.952,0,0
0.1884655,0,0,0,0,0.955,0,0
0.1991803,0,0,0,0,0.966,0,0
0.2078727,0,0,0,0,0.966,0,0
0.2151934,0,0,0,0,0.976,0,0
0.2223976,0,0,0,0,0.976,0,0
0.2309584,0,0,0,0,0.976,0,0
0.2384844,0,0,0,0,0.976,0,0
0.2454012,0,0,0,0,0.976,0,0
0.2529867,0,0,0,0,0.976,0,0
0.261095,0,0,0,0,0.976,0,0
0.2687404,0,0,0,0,0.976,0,0
0.2771606,0,0,0,0,0.976,0,0
0.2846019,0,0,0,0,0.976,0,0
0.2968677,0,0,0,0,0.976,0,0
0.3053431,0,0,0,0,0.976,0,0
0.3140935,0,0,0,0,0.976,0,0
0.3226591,0,0,0,0,0.977,0,0
0.3332769,0,0,0,0,0.977,0,0
0.3404956,0,0,0,0,0.977,0,0
0.3481966,0,0,0,0,0.977,0,0
0.3584821,0,0,0,0,0.977,0,0
0.3656613,0,0,0,0,0.977,0,0
0.3740494,0,0,0,0,0.977,0,0
0.3828152,0,0,0,0,0.977,0,0
0.3945269,0,0,0,0,0.977,0,0
0.40195,0,0,0,0,0.977,0,0
0.4109612,0,0,0,0,0.977,0,0
0.4181558,0,0,0,0,0.977,0,0
0.4260372,0,0,0,0,0.979,0,0
0.4344032,0,0,0,0,0.979,0,0
0.442415,0,0,0,0,0.979,0,0
0.4518476,0,0,0,0,0.979,0,0
0.4615369,0,0,0,0,0.979,0,0
0.4698852,0,0,0,0,0.979,0,0
0.4794239,0,0,0,0,0.979,0,0
0.4877205,0,0,0,0,0.979,0,0
0.4961155,0,0,0,0,0.979,0,0
0.5048106,0,0,0,0,0.979,0,0
0.513418,0,0,0,0,0.979,0,0
0.5213785,0,0,0,0,0.979,0,0
0.530117,0,0,0,0,0.979,0,0
0.5390821,0,0,0,0,0.982,0,0
0.5480906,0,0,0,0,0.982,0,0
0.5562866,0,0,0,0,0.982,0,0
0.5659246,0,0,0,0,0.982,0,0
0.576421,0,0,0,0,0.982,0,0
0.5838344,0,0,0,0,0.982,0,0
0.5951322,0,0,0,0,0.982,0,0
