time,closing_door,left_step,opening_door,right_step,saluting,sitting_down,standing_up
0.0115052,0,0,0,0,0.965,0,0.381
0.0267196,0,0,0,0,0.965,0,0.381
0.0420529,0,0,0,0,0.965,0,0.381
0.0524221,0,0,0,0,0.965,0,0.381
0.0602087,0,0,0,0,0.965,0,0.378
0.0686566,0,0,0,0,0.965,0,0.378
0.0761073,0,0,0,0,0.965,0,0.378
0.0845191,0,0,0,0,0.965,0,0.378
0.0916118,0,0,0,0,0.965,0,0.378
0.0996455,0,0,0,0,0.965,0,0.378
0.1075054,0,0,0,0,0.965,0,0.378
0.1154552,0,0,0,0,0.965,0,0.378
0.1226141,0,0,0,0,0.965,0,0.378
0.1314512,0,0,0,0,0.965,0,0.378
0.140229,0,0,0,0,0.965,0,0.378
0.1477935,0,0,0,0,0.965,0,0.378
0.1580485,0,0,0,0,0.965,0,0.378
0.1668385,0,0,0,0,0.965,0,0.378
0.1776497,0,0,0,0,0.965,0,0.388
0.1853089,0,0,0,0,0.965,0,0.388
0.1981083,0,0,0,0,0.965,0,0.388
0.2053993,0,0,0,0,0.965,0,0.388
0.2132344,0,0,0,0,0.965,0,0.388
0.2214076,0,0,0,0,0.965,0,0.388
0.2287426,0,0,0,0,0.965,0,0.388
0.2387188,0,0,0,0,0.965,0,0.388
0.2464201,0,0,0,0,0.965,0,0.388
0.2539813,0,0,0,0,0.965,0,0.388
0.2638209,0,0,0,0,0.965,0,0.388
0.271102,0,0,0,0,0.965,0,0.388
0.2783472,0,0,0,0,0.965,0,0.388
0.2852732,0,0,0,0,0.965,0,0.388
0.2933852,0,0,0,0,0.965,0,0.388
0.3015265,0,0,0,0,0.965,0,0.388
0.3089705,0,0,0,0,0.965,0,0.388
0.3179276,0,0,0,0,0.965,0,0.388
0.3251287,0,0,0,0,0.965,0,0.388
0.3339827,0,0,0,0,0.965,0,0.388
0.341133,0,0,0,0,0.965,0,0.388
0.3541105,0,0,0,0,0.965,0,0.388
0.3610917,0,0,0,0,0.965,0,0.388
0.3688265,0,0,0,0,0.965,0,0.388
0.3759567,0,0,0,0,0.965,0,0.388
0.3840228,0,0,0,0,0.965,0,0.388
0.3917083,0,0,0,0,0.966,0,0.388
0.3993558,0,0,0,0,0.966,0,0.388
0.4082895,0,0,0,0,0.965,0,0.388
0.4175471,0,0,0,0,0.965,0,0.388
0.4256036,0,0,0,0,0.965,0,0.388
0.4349744,0,0,0,0,0.965,0,0.388
0.4440682,0,0,0,0,0.965,0,0.388
0.4515593,0,0,0,0,0.965,0,0.388
0.4602207,0,0,0,0,0.965,0,0.388
0.4684895,0,0,0,0,0.965,0,0.388
0.477866,0,0,0,0,0.965,0,0.388
0.4858552,0,0,0,0,0.965,0,0.388
0.4942695,0,0,0,0,0.965,0,0.388
0.5042062,0,0,0,0,0.966,0,0.388
0.5119335,0,0,0,0,0.966,0,0.388
0.525368,0,0,0,0,0.965,0,0.388
0.5362025,0,0,0,0,0.965,0,0.388
0.5432258,0,0,0,0,0.965,0,0.388
0.5509332,0,0,0,0,0.965,0,0.388
0.5583276,0,0,0,0,0.965,0,0.388
0.5654787,0,0,0,0,0.965,0,0.388
0.5739088,0,0,0,0,0.965,0,0.388
0.5825884,0,0,0,0,0.957,0,0.388
0.5912088,0,0,0,0,0.957,0,0.388
0.5996925,0,0,0,0,0.957,0,0.388
0.6072585,0,0,0,0,0.966,0,0.388
0.616489,0,0,0,0,0.966,0,0.388
0.6253974,0,0,0,0,0.965,0,0.388
0.6337639,0,0,0,0,0.965,0,0.388
0.6420393,0,0,0,0,0.965,0,0.388
0.6519064,0,0,0,0,0.965,0,0.388
0.6622605,0,0,0,0,0.965,0,0.388
0.6690158,0,0,0,0,0.965,0,0.388
0.6767467,0,0,0,0,0.965,0,0.388
0.6855496,0,0,0,0,0.965,0,0.388
0.6988819,0,0,0,0,0.957,0,0.388
0.7059422,0,0,0,0,0.957,0,0.388
0.7138584,0,0,0,0,0.966,0,0.388
0.7208844,0,0,0,0,0.966,0,0.388
0.7284547,0,0,0,0,0.965,0,0.388
0.7482728,0,0,0,0,0.965,0,0.388
0.7577903,0,0,0,0,0.964,0,0.388
0.7653991,0,0,0,0,0.965,0,0.388
0.7739319,0,0,0,0,0.965,0,0.388
0.7835977,0,0,0,0,0.965,0,0.388
0.7916095,0,0,0,0,0.965,0,0.388
0.8006181,0,0,0,0,0.957,0,0.388
0.8090588,0,0,0,0,0.957,0,0.388
0.8178923,0,0,0,0,0.966,0,0.388
0.8256406,0,0,0,0,0.966,0,0.388
0.8352079,0,0,0,0,0.965,0,0.388
0.8431314,0,0,0,0,0.965,0,0.388
0.8518396,0,0,0,0,0.964,0,0.388
0.8608646,0,0,0,0,0.964,0,0.388
0.875323,0,0,0,0,0.964,0,0.388
0.8843977,0,0,0,0,0.964,0,0.388
0.891578,0,0,0,0,0.965,0,0.388
0.8988922,0,0,0,0,0.965,0,0.388
0.9075406,0,0,0,0,0.957,0,0.388
0.9156883,0,0,0,0,0.957,0,0.388
0.9235674,0,0,0,0,0.957,0,0.388
0.9326913,0,0,0,0,0.966,0,0.388
0.9415948,0,0,0,0,0.965,0,0.388
0.9497196,0,0,0,0,0.965,0,0.388
0.9584148,0,0,0,0,0.964,0,0.388
0.9662636,0,0,0,0,0.964,0,0.388
0.9762497,0,0,0,0,0.965,0,0.388
0.9836797,0,0,0,0,0.965,0,0.388
0.993078,0,0,0,0,0.965,0,0.388
1.00188,0,0,0,0,0.965,0,0.388
1.011303,0,0,0,0,0.957,0,0.388
1.019473,0,0,0,0,0.957,0,0.388
1.027799,0,0,0,0,0.966,0,0.388
1.0366,0,0,0,0,0.966,0,0.388
1.048517,0,0,0,0,0.965,0,0.388
1.056247,0,0,0,0,0.965,0,0.388
1.063424,0,0,0,0,0.965,0,0.388
1.071975,0,0,0,0,0.965,0,0.388
1.080765,0,0,0,0,0.965,0,0.388
1.090595,0,0,0,0,0.965,0,0.388
1.099159,0,0,0,0,0.965,0,0.388
1.107354,0,0,0,0,0.965,0,0.388
1.115602,0,0,0,0,0.957,0,0.388
1.124325,0,0,0,0,0.957,0,0.388
1.133083,0,0,0,0,0.966,0,0.388
1.140597,0,0,0,0,0.966,0,0.388
