time,closing_door,left_step,opening_door,right_step,saluting,sitting_down,standing_up
0.0108614,0,0,0,0,0.979,0,0
0.0249078,0,0,0,0,0.979,0,0
0.0360069,0,0,0,0,0.979,0,0
0.0448131,0,0,0,0,0.979,0,0
0.0531368,0,0,0,0,0.979,0,0
0.06085639,0,0,0,0,0.979,0,0
0.06899489,0,0,0,0,0.979,0,0
0.0777199,0,0,0,0,0.979,0,0
0.08570649,0,0,0,0,0.979,0,0
0.09334199,0,0,0,0,0.979,0,0
0.1009084,0,0,0,0,0.979,0,0
0.1144608,0,0,0,0,0.979,0,0
0.1247582,0,0,0,0,0.979,0,0
0.1352555,0,0,0,0,0.979,0,0
0.1434599,0,0,0,0,0.979,0,0
0.1537049,0,0,0,0,0.979,0,0
0.1611835,0,0,0,0,0.979,0,0
0.169116,0,0,0,0,0.979,0,0
0.1812948,0,0,0,0,0.979,0,0
0.189649,0,0,0,0,0.979,0,0
0.1995005,0,0,0,0,0.979,0,0
0.2102486,0,0,0,0,0.979,0,0
0.2184631,0,0,0,0,0.979,0,0
0.226089,0,0,0,0,0.979,0,0
0.2343583,0,0,0,0,0.979,0,0
0.2435962,0,0,0,0,0.979,0,0
0.2514248,0,0,0,0,0.979,0,0
0.2589773,0,0,0,0,0.979,0,0
0.2666164,0,0,0,0,0.979,0,0
0.2740794,0,0,0,0,0.979,0,0
0.2819023,0,0,0,0,0.979,0,0
0.2897269,0,0,0,0,0.979,0,0
0.2968862,0,0,0,0,0.979,0,0
0.3037952,0,0,0,0,0.979,0,0
0.3131322,0,0,0,0,0.979,0,0
0.3219473,0,0,0,0,0.979,0,0
0.3317295,0,0,0,0,0.979,0,0
0.3401288,0,0,0,0,0.979,0,0
0.3494292,0,0,0,0,0.979,0,0
0.3580362,0,0,0,0,0.979,0,0
0.3674742,0,0,0,0,0.979,0,0
0.3772942,0,0,0,0,0.979,0,0
0.3906868,0,0,0,0,0.979,0,0
0.3977976,0,0,0,0,0.979,0,0
0.4060084,0,0,0,0,0.979,0,0
0.413516,0,0,0,0,0.979,0,0
0.4226294,0,0,0,0,0.979,0,0
0.4313709,0,0,0,0,0.979,0,0
0.4393712,0,0,0,0,0.979,0,0
0.4496646,0,0,0,0,0.979,0,0
0.458213,0,0,0,0,0.979,0,0
0.4677677,0,0,0,0,0.979,0,0
0.4758152,0,0,0,0,0.979,0,0
0.4855908,0,0,0,0,0.979,0,0
0.4966879,0,0,0,0,0.979,0,0
0.5061135,0,0,0,0,0.979,0,0
0.5149292,0,0,0,0,0.979,0,0
0.5249505,0,0,0,0,0.979,0,0
0.5338741,0,0,0,0,0.979,0,0
0.5424443,0,0,0,0,0.979,0,0
0.5516362,0,0,0,0,0.979,0,0
0.5612615,0,0,0,0,0.979,0,0
0.5692899,0,0,0,0,0.979,0,0
0.5792907,0,0,0,0,0.979,0,0
0.5879115,0,0,0,0,0.979,0,0
0.5955619,0,0,0,0,0.979,0,0
0.6089064,0,0,0,0,0.979,0,0
0.6172531,0,0,0,0,0.979,0,0
0.6272398,0,0,0,0,0.979,0,0
0.6357602,0,0,0,0,0.979,0,0
0.6437294,0,0,0,0,0.979,0,0
0.6520082,0,0,0,0,0.979,0,0
0.6605901,0,0,0,0,0.979,0,0
0.6684421,0,0,0,0,0.979,0,0
0.6773014,0,0,0,0,0.979,0,0
0.6875932,0,0,0,0,0.979,0,0
0.6950249,0,0,0,0,0.979,0,0
0.7046201,0,0,0,0,0.979,0,0
0.7140038,0,0,0,0,0.978,0,0
0.7215412,0,0,0,0,0.978,0,0
0.7317596,0,0,0,0,0.978,0,0
0.7412514,0,0,0,0,0.978,0,0
0.7501881,0,0,0,0,0.978,0,0
0.7594315,0,0,0,0,0.978,0,0
0.7685385,0,0,0,0,0.978,0,0
0.7767863,0,0,0,0,0.978,0,0
0.7863376,0,0,0,0,0.978,0,0
0.7949636,0,0,0,0,0.978,0,0
0.8035191,0,0,0,0,0.978,0,0
0.8121023,0,0,0,0,0.978,0,0
0.8256001,0,0,0,0,0.977,0,0
0.8342196,0,0,0,0,0.977,0,0
0.8407781,0,0,0,0,0.977,0,0
0.8507981,0,0,0,0,0.977,0,0
0.8585434,0,0,0,0,0.977,0,0
0.8668475,0,0,0,0,0.977,0,0
0.8754249,0,0,0,0,0.977,0,0
0.8851817,0,0,0,0,0.977,0,0
0.8941624,0,0,0,0,0.977,0,0
0.9035118,0,0,0,0,0.977,0,0
0.9121217,0,0,0,0,0.977,0,0
0.9201009,0,0,0,0,0.977,0,0
0.9287245,0,0,0,0,0.977,0,0
0.9378083,0,0,0,0,0.977,0,0
0.9472401,0,0,0,0,0.977,0,0
0.9580177,0,0,0,0,0.977,0,0
0.9675952,0,0,0,0,0.977,0,0
0.9757712,0,0,0,0,0.977,0,0
0.9829909,0,0,0,0,0.977,0,0
0.9927893,0,0,0,0,0.977,0,0
1.001343,0,0,0,0,0.977,0,0
