time,closing_door,left_step,opening_door,right_step,saluting,sitting_down,standing_up
0.0146729,0,0.853,0,0,0.74,0,0
0.0249822,0,0.862,0,0,0.74,0,0
0.0329175,0,0.862,0,0,0.74,0,0
0.0420624,0,0.838,0,0,0.74,0,0
0.0500961,0,0.862,0,0,0.74,0,0
0.0578539,0,0.862,0,0,0.74,0,0
0.0671055,0,0.853,0,0,0.74,0,0
0.07408001,0,0.852,0,0,0.74,0,0
0.08151191,0,0.844,0,0,0.74,0,0
0.08960541,0,0.844,0,0,0.74,0,0
0.09821491,0,0.843,0,0,0.74,0,0
0.1066038,0,0.843,0,0,0.74,0,0
0.1152697,0,0.852,0,0,0.74,0,0
0.1231679,0,0.851,0,0,0.74,0,0
0.1317776,0,0.86,0,0,0.74,0,0
0.139553,0,0.86,0,0,0.74,0,0
0.1479477,0,0.938,0,0,0.74,0,0
0.163336,0,0.927,0,0,0.74,0,0
0.1727147,0,0.927,0,0,0.74,0,0
0.1817624,0,0.916,0,0,0.962,0,0
0.1902407,0,0.948,0,0,0.962,0,0
0.1982009,0,0.937,0,0,0.962,0,0
0.2096736,0,0.947,0,0,0.962,0,0
0.2176362,0,0.936,0,0,0.962,0,0
0.2259171,0,0.956,0,0,0.962,0,0
0.2384377,0,0.954,0,0,0.962,0,0
0.2468908,0,0.954,0,0,0.962,0,0
0.2544506,0,0.956,0,0,0.962,0,0
0.2637023,0,0.956,0,0,0.962,0,0
0.2707787,0,0.954,0,0,0.962,0,0
0.2784265,0,0.954,0,0,0.962,0,0
0.2877137,0,0.952,0,0,0.962,0,0
0.2971506,0,0.952,0,0,0.962,0,0
0.305031,0,0.95,0,0,0.962,0,0
0.3187268,0,0.949,0,0,0.962,0,0
0.3284998,0,0.952,0,0,0.962,0,0
0.3371643,0,0.962,0,0,0.962,0,0
0.3454139,0,0.962,0,0,0.962,0,0
0.354617,0,0.956,0,0,0.962,0,0
0.3633089,0,0.956,0,0,0.962,0,0
0.3721829,0,0.95,0,0,0.962,0,0
0.3805138,0,0.956,0,0,0.962,0,0
0.3916028,0,0.961,0,0,0.962,0,0
0.4005215,0,0.966,0,0,0.962,0,0
0.4085253,0,0.972,0,0,0.962,0,0
0.4163812,0,0.976,0,0,0.962,0,0
0.426488,0,0.959,0,0,0.962,0,0
0.434404,0,0.959,0,0,0.962,0,0
0.4433452,0,0.952,0,0,0.962,0,0
0.4514292,0,0.942,0,0,0.962,0,0
0.4600196,0,0.933,0,0,0.962,0,0
0.4702629,0,0.976,0,0,0.962,0,0
0.4839309,0,0.966,0,0,0.962,0,0
0.4922164,0,0.949,0,0,0.962,0,0
0.5009555,0,0.94,0,0,0.962,0,0
0.5095086,0,0.929,0,0,0.962,0,0
0.5177177,0,0.92,0,0,0.962,0,0
0.5266467,0,0.91,0,0,0.962,0,0
0.5347027,0,0.9,0,0,0.962,0,0
0.5436103,0,0.892,0,0,0.962,0,0
0.5509952,0,0.882,0,0,0.962,0,0
0.5581139,0,0.876,0,0,0.962,0,0
0.5663938,0,0.876,0,0,0.962,0,0
0.5736571,0,0.918,0,0,0.962,0,0
0.582386,0,0.918,0,0,0.962,0,0
0.5923702,0,0.907,0,0,0.962,0,0
0.6016619,0,0.907,0,0,0.962,0,0
0.6097768,0,0.896,0,0,0.962,0,0
0.6236516,0,0.886,0,0,0.962,0,0
0.6326463,0,0.886,0,0,0.962,0,0
0.6434307,0,0.877,0,0,0.962,0,0
0.6514596,0,0.876,0,0,0.962,0,0
0.6628358,0,0.872,0,0,0.962,0,0
0.6708989,0,0.867,0,0.794,0.962,0,0
0.6796812,0,0.91,0,0.794,0.962,0,0
0.6889685,0,0.907,0,0.78,0.962,0,0
0.6979649,0,0.897,0,0.78,0.953,0,0
0.7079728,0,0.893,0,0,0.953,0,0
0.7170051,0,0.884,0,0,0.953,0,0
0.7256441,0,0.882,0,0,0.953,0,0
0.7331058,0,0.873,0,0,0.953,0,0
0.7410051,0,0.871,0,0,0.953,0,0
0.7500598,0,0.868,0,0,0.953,0,0
0.7625429,0,0.868,0,0,0.953,0,0
0.7716834,0,0.868,0,0,0.953,0,0
0.7795265,0,0.868,0,0.808,0.953,0,0
0.7903582,0,0.868,0,0.813,0.953,0,0
0.7986349,0,0.868,0,0.797,0.95,0,0
0.8082035,0,0.868,0,0.787,0.95,0,0
0.8166531,0,0.868,0,0.787,0.953,0,0
0.8270254,0,0.868,0,0.779,0.953,0,0
0.8350109,0,0.868,0,0.779,0.953,0,0
0.8430658,0,0.868,0,0,0.953,0,0
0.8529346,0,0.868,0,0,0.953,0,0
0.8608706,0,0.868,0,0,0.953,0,0
0.8686155,0,0.868,0,0,0.953,0,0
0.8760947,0,0.868,0,0,0.953,0,0
0.8848028,0,0.868,0,0.849,0.953,0,0
0.8972717,0,0.868,0,0.849,0.953,0,0
0.9057989,0,0.868,0,0.841,0.953,0,0
0.9177989,0,0.868,0,0.826,0.953,0,0
0.9261071,0,0.868,0,0.839,0.957,0,0
0.9340494,0,0.868,0,0.825,0.957,0,0
0.9420855,0,0.868,0,0.837,0.957,0,0
0.9556596,0,0.868,0,0.836,0.957,0,0
0.9643309,0,0.868,0,0.836,0.957,0,0
0.9729591,0,0.868,0,0.838,0.957,0,0
0.9813866,0,0.868,0,0.838,0.957,0,0
0.9898932,0,0.868,0,0.916,0.957,0,0
0.9983242,0,0.868,0,0.916,0.957,0,0
1.007282,0,0.868,0,0.917,0.957,0,0
1.020639,0,0.868,0,0.927,0.957,0,0
1.029128,0,0.868,0,0.915,0.959,0.396,0
1.038552,0,0.868,0,0.909,0.959,0.396,0
1.047514,0,0.868,0,0.909,0.959,0.396,0
1.056135,0,0.868,0,0.895,0.959,0.396,0
1.065164,0,0.868,0,0.895,0.959,0.396,0
1.073626,0,0.868,0,0.874,0.959,0.396,0
1.082624,0,0.868,0,0.874,0.959,0.396,0
1.090606,0,0.868,0,0.85,0.959,0.396,0
1.099205,0,0.868,0,0.85,0.959,0.396,0
1.108673,0,0.868,0,0.826,0.959,0.396,0
