time,closing_door,left_step,opening_door,right_step,saluting,sitting_down,standing_up
0.0125291,0,0.972,0,0,0.972,0.788,0
0.0287836,0,0.972,0,0,0.978,0.788,0
0.0387193,0,0.972,0,0,0.978,0.788,0
0.048302,0,0.972,0,0,0.978,0.788,0
0.0577381,0,0.972,0,0,0.978,0.788,0
0.0662425,0,0.972,0,0,0.978,0.788,0
0.0758644,0,0.972,0,0,0.978,0.788,0
0.08849101,0,0.972,0,0,0.978,0.788,0
0.1008404,0,0.972,0,0,0.978,0.788,0
0.1100946,0,0.972,0,0,0.978,0.788,0
0.1190024,0,0.972,0,0,0.987,0.788,0
0.1267339,0,0.972,0,0,0.985,0.788,0
0.1372706,0,0.972,0,0,0.985,0.788,0
0.1489623,0,0.972,0,0,0.985,0.788,0
0.1619458,0,0.972,0,0,0.984,0.788,0
0.1776322,0,0.972,0,0,0.985,0.788,0
0.1871752,0,0.972,0,0,0.985,0.788,0
0.1965902,0,0.972,0,0,0.978,0.788,0
0.2118266,0,0.972,0,0,0.984,0.788,0
0.2224194,0,0.972,0,0,0.984,0.788,0
0.2316902,0,0.972,0,0,0.983,0.788,0
0.242479,0,0.972,0,0,0.982,0.788,0
0.2522061,0,0.972,0,0,0.982,0.788,0
0.2612938,0,0.972,0,0,0.982,0.788,0
0.2704353,0,0.972,0,0,0.982,0.788,0
0.2787783,0,0.972,0,0,0.982,0.788,0
0.2882459,0,0.972,0,0,0.982,0.788,0
0.3011684,0,0.972,0,0,0.978,0.788,0
0.310744,0,0.972,0,0,0.978,0.788,0
0.3235843,0,0.972,0,0,0.983,0.788,0
0.3326254,0,0.972,0,0,0.982,0.788,0
0.3422186,0,0.972,0,0,0.982,0.788,0
0.3517917,0,0.972,0,0,0.981,0.788,0
0.3620296,0,0.972,0,0,0.981,0.788,0
0.3721817,0,0.972,0,0,0.981,0.788,0
0.3815995,0,0.972,0,0,0.982,0.788,0
0.3903027,0,0.972,0,0,0.982,0.788,0
0.3996263,0,0.972,0,0,0.978,0.788,0
0.4078909,0,0.972,0,0,0.978,0.788,0
