time,closing_door,left_step,opening_door,right_step,saluting,sitting_down,standing_up
0.0123282,0,0.808,0,0,0.95,0.767,0
0.0245377,0,0.808,0,0,0.95,0.767,0
0.0365038,0,0.808,0,0,0.95,0.767,0
0.0454225,0,0.808,0,0,0.95,0.767,0
0.0550321,0,0.808,0,0,0.95,0.767,0
0.06766859,0,0.808,0,0,0.95,0.767,0
0.0840947,0,0.808,0,0,0.95,0.767,0
0.0958652,0,0.808,0,0,0.95,0.767,0
0.1032795,0,0.808,0,0,0.95,0.757,0
0.1116165,0,0.808,0,0,0.95,0.757,0
0.1197365,0,0.95,0,0.835,0.95,0.757,0
0.126838,0,0.95,0,0.834,0.95,0.757,0
0.1356551,0,0.95,0,0.818,0.95,0.757,0
0.143232,0,0.95,0,0.818,0.95,0.757,0
0.1509075,0,0.95,0,0.803,0.95,0.757,0
0.1623492,0,0.95,0,0.802,0.95,0.757,0
0.17166,0,0.95,0,0.788,0.95,0.757,0
0.1813324,0,0.95,0,0.788,0.95,0.757,0
0.1900753,0,0.95,0,0,0.95,0.757,0
0.199516,0,0.95,0,0,0.95,0.757,0
0.2091298,0,0.95,0,0,0.941,0.753,0
0.2189339,0,0.95,0,0.833,0.941,0.753,0
0.2274445,0,0.95,0,0.833,0.941,0.753,0
0.2368167,0,0.95,0,0.817,0.941,0.753,0
0.2452266,0,0.95,0,0.817,0.941,0.753,0
0.2604283,0,0.95,0,0.801,0.941,0.753,0
0.2722939,0,0.95,0,0.787,0.941,0.753,0
0.2799733,0,0.95,0,0.787,0.941,0.753,0
0.2878413,0,0.95,0,0,0.941,0.753,0
0.297439,0,0.95,0,0,0.941,0.753,0
0.3065038,0,0.95,0,0,0.941,0.753,0
0.3148023,0,0.95,0,0,0.941,0.753,0
0.3230962,0,0.95,0,0.832,0.941,0.753,0
0.3316489,0,0.95,0,0.832,0.941,0.753,0
0.3397135,0,0.95,0,0.816,0.941,0.753,0
0.3476439,0,0.95,0,0.816,0.941,0.753,0
0.3561606,0,0.95,0,0.801,0.941,0.753,0
0.3684196,0,0.95,0,0.786,0.941,0.753,0
0.3769127,0,0.95,0,0.786,0.941,0.753,0
0.3859144,0,0.95,0,0,0.941,0.753,0
0.3939153,0,0.95,0,0,0.941,0.753,0
0.4044692,0,0.95,0,0,0.941,0.753,0
0.4119346,0,0.95,0,0,0.941,0.753,0
0.4247959,0,0.95,0,0,0.918,0,0
0.4328534,0,0.95,0,0.832,0.918,0,0
0.4450599,0,0.95,0,0.832,0.915,0,0
0.4570857,0,0.95,0,0.816,0.915,0,0
0.4653111,0,0.95,0,0.801,0.915,0,0
0.474232,0,0.95,0,0.801,0.915,0,0
0.4850102,0,0.95,0,0.787,0.915,0,0
0.4923923,0,0.95,0,0.787,0.915,0,0
0.5022756,0,0.95,0,0,0.915,0,0
0.510911,0,0.95,0,0,0.915,0.784,0
0.5207261,0,0.95,0,0,0.915,0.784,0
0.5292034,0,0.95,0,0,0.917,0.784,0
0.53738,0,0.95,0,0,0.917,0.784,0
0.544706,0,0.95,0,0,0.917,0.784,0
0.5529471,0,0.95,0,0,0.917,0.784,0
0.560761,0,0.95,0,0,0.917,0.784,0
0.5700752,0,0.95,0,0,0.917,0.784,0
0.5787864,0,0.95,0,0,0.917,0.784,0
0.5932351,0,0.95,0,0,0.917,0.784,0
0.6009532,0,0.95,0,0,0.917,0.784,0
0.6091487,0,0.95,0,0,0.917,0.784,0
0.6194524,0,0.95,0,0,0.917,0.784,0
0.6267202,0,0.947,0,0,0.917,0.784,0
0.6352599,0,0.947,0,0,0.917,0.784,0
0.6434655,0,0.947,0,0,0.923,0.784,0
0.6520305,0,0.947,0,0,0.923,0.784,0
0.6621279,0,0.947,0,0,0.923,0.784,0
0.6706333,0,0.947,0,0,0.923,0.784,0
0.6796436,0,0.947,0,0,0.923,0.784,0
0.6877201,0,0.947,0,0,0.923,0.784,0
0.6969092,0,0.947,0,0,0.923,0.784,0
0.705181,0,0.947,0,0,0.923,0.784,0
0.7139373,0,0.947,0,0,0.923,0.784,0
0.7218833,0,0.947,0,0,0.923,0.784,0
0.7318599,0,0.948,0,0,0.923,0.784,0
0.7405416,0,0.948,0,0,0.923,0.784,0
0.7493299,0,0.948,0,0,0.923,0.784,0
0.7625171,0,0.948,0,0,0.923,0.784,0
0.7713867,0,0.948,0,0,0.923,0.784,0
0.7803927,0,0.948,0,0,0.923,0.784,0
0.7880112,0,0.948,0,0,0.923,0.784,0
0.7960103,0,0.948,0,0,0.923,0.784,0
0.8041341,0,0.948,0,0,0.923,0.784,0
0.8117512,0,0.948,0,0,0.923,0.784,0
0.8198195,0,0.948,0,0,0.923,0.784,0
0.8271546,0,0.948,0,0,0.923,0.784,0
0.8370158,0,0.949,0,0,0.923,0.784,0
0.8457136,0,0.949,0,0,0.923,0.784,0
0.8538371,0,0.949,0,0,0.923,0.784,0
0.8624708,0,0.949,0,0,0.923,0.784,0
0.8712306,0,0.949,0,0,0.923,0.784,0
