time,closing_door,left_step,opening_door,right_step,saluting,sitting_down,standing_up
0.0166208,0,0.967,0,0,0.993,0.79,0
0.0292007,0,0.952,0,0,0.993,0.79,0
0.045199,0,0.987,0,0,0.993,0.79,0
0.0542105,0,0.987,0,0,0.993,0.79,0
0.0619153,0,0.987,0,0,0.993,0.79,0
0.0699108,0,0.987,0,0,0.993,0.79,0
0.0788941,0,0.987,0,0,0.993,0.79,0
0.0868179,0,0.987,0,0,0.993,0.79,0
0.09710009,0,0.987,0,0,0.993,0.79,0
0.1051785,0,0.987,0,0,0.993,0.79,0
0.1130536,0,0.987,0,0,0.993,0.79,0
0.1228664,0,0.987,0,0,0.993,0.79,0
0.1339473,0,0.987,0,0,0.993,0.79,0
0.1440449,0,0.987,0,0,0.993,0.79,0
0.1536327,0,0.99,0,0,0.993,0.79,0
0.1646884,0,0.99,0,0,0.993,0.79,0
0.1784899,0,0.99,0,0,0.993,0.79,0
0.1888464,0,0.99,0,0,0.993,0.79,0
0.2006777,0,0.99,0,0,0.993,0.79,0
0.2142257,0,0.99,0,0.867,0.993,0.79,0
0.2222324,0,0.99,0,0.864,0.993,0.79,0
0.2317355,0,0.99,0,0.848,0.993,0.79,0
0.2403646,0,0.99,0,0.844,0.993,0.79,0
0.2504078,0,0.99,0,0.828,0.993,0.79,0
0.2605351,0,0.99,0,0.81,0.993,0.79,0
0.2691452,0,0.99,0,0.81,0.993,0.79,0
0.2778266,0,0.99,0,0.793,0.993,0,0
0.2866773,0,0.99,0,0.79,0.993,0,0
0.2981443,0,0.99,0,0.779,0.993,0,0
0.3074186,0,0.99,0,0,0.993,0,0
0.3156175,0,0.99,0,0.846,0.993,0,0
0.3231803,0,0.99,0,0.844,0.993,0,0
0.3331593,0,0.99,0,0.828,0.993,0,0
0.3436264,0,0.99,0,0.826,0.993,0,0
0.3551049,0,0.99,0,0.809,0.993,0,0
0.3705409,0,0.99,0,0.795,0.993,0,0
0.3823042,0,0.99,0,0.781,0.993,0,0
0.3911658,0,0.99,0,0.78,0.993,0,0
0.4013546,0,0.99,0,0,0.993,0,0
0.4125015,0,0.99,0,0,0.993,0,0
0.4228709,0,0.99,0,0.836,0.993,0,0
0.4310174,0,0.99,0,0.836,0.991,0,0
0.4402036,0,0.99,0,0.82,0.991,0,0
0.4493161,0,0.99,0,0.82,0.991,0,0
0.4579208,0,0.99,0,0.805,0.991,0,0
0.4660243,0,0.99,0,0.805,0.991,0,0
0.4755649,0,0.99,0,0.794,0.991,0,0
0.4865355,0,0.99,0,0.78,0.991,0,0
0.4950994,0,0.99,0,0.785,0.991,0,0
0.5026253,0,0.99,0,0.789,0.991,0,0
0.5127835,0,0.99,0,0.778,0.991,0,0
0.5210159,0,0.99,0,0,0.991,0,0
0.529119,0,0.99,0,0,0.991,0,0
0.5381411,0,0.99,0,0,0.932,0,0
0.5465059,0,0.99,0,0,0.932,0,0
0.5608564,0,0.99,0,0,0.932,0,0
0.5704608,0,0.99,0,0,0.932,0,0
0.5818382,0,0.99,0,0,0.932,0,0
0.5907156,0,0.99,0,0,0.932,0,0
0.6007658,0,0.99,0,0,0.932,0,0
0.6099212,0,0.99,0,0,0.932,0,0
0.6185164,0,0.99,0,0,0.932,0,0
0.6278328,0,0.99,0,0,0.932,0,0
0.6394035,0,0.99,0,0,0.932,0,0
0.6503007,0,0.99,0,0,0.932,0,0
0.6600903,0,0.977,0,0,0.932,0,0
0.6711416,0,0.977,0,0,0.932,0,0
0.6808859,0,0.977,0,0,0.932,0,0
0.6902549,0,0.977,0,0,0.932,0,0
0.6979896,0,0.977,0,0,0.932,0,0
0.705128,0,0.977,0,0,0.932,0,0
0.7162436,0,0.977,0,0,0.932,0,0
0.7295102,0,0.977,0,0,0.932,0,0
0.7369644,0,0.977,0,0,0.932,0,0
0.7464029,0,0.977,0,0,0.932,0,0
0.7549344,0,0.977,0,0,0.932,0,0
0.7640564,0,0.977,0,0,0.932,0,0
0.7724227,0,0.977,0,0,0.932,0,0
0.7806913,0,0.977,0,0,0.932,0,0
0.7894169,0,0.977,0,0,0.932,0,0
0.7975665,0,0.977,0,0,0.932,0,0
0.8047816,0,0.977,0,0,0.932,0,0
0.8133108,0,0.977,0,0,0.932,0,0
0.8228978,0,0.977,0,0,0.932,0,0
0.831022,0,0.977,0,0,0.932,0,0
0.8391278,0,0.977,0,0,0.932,0,0
0.8467458,0,0.977,0,0,0.932,0,0
0.8570004,0,0.977,0,0,0.932,0,0
0.8650964,0,0.977,0,0,0.932,0,0
0.8749816,0,0.977,0,0,0.932,0,0
0.8828385,0,0.977,0,0,0.932,0,0
0.8906534,0,0.977,0,0,0.932,0,0
0.8998454,0,0.977,0,0,0.932,0,0
0.9135476,0,0.977,0,0,0.932,0,0
0.9234049,0,0.977,0,0,0.932,0,0
0.9320996,0,0.977,0,0,0.932,0,0
0.9409045,0,0.977,0,0,0.932,0,0
0.949578,0,0.977,0,0,0.932,0,0
0.9574112,0,0.977,0,0,0.929,0,0
0.9657362,0,0.977,0,0,0.929,0,0
0.9739134,0,0.975,0,0,0.929,0,0
0.9838779,0,0.975,0,0,0.929,0,0
0.9953721,0,0.975,0,0,0.929,0,0
1.003512,0,0.975,0,0,0.929,0,0
1.01248,0,0.975,0,0,0.929,0,0
1.020588,0,0.975,0,0,0.929,0,0
1.028169,0,0.975,0,0,0.929,0,0
1.036738,0,0.975,0,0,0.929,0,0
1.044846,0,0.975,0,0,0.929,0,0
1.053414,0,0.975,0,0,0.929,0,0
1.061576,0,0.975,0,0,0.934,0,0
1.070258,0,0.975,0,0,0.934,0,0
1.080685,0,0.975,0,0,0.934,0,0
1.096427,0,0.994,0,0,0.934,0,0
1.10918,0,0.994,0,0,0.934,0,0
1.120077,0,0.994,0,0,0.934,0,0
1.127476,0,0.994,0,0,0.934,0,0
1.135996,0,0.994,0,0,0.934,0,0
1.144722,0,0.994,0,0,0.934,0,0
1.153894,0,0.994,0,0,0.934,0,0
1.160957,0,0.994,0,0,0.934,0,0
1.168981,0,0.994,0,0,0.944,0,0
1.177933,0,0.994,0,0,0.944,0,0
1.185936,0,0.994,0,0,0.944,0,0
1.193661,0,0.994,0,0,0.944,0,0
1.203188,0,0.994,0,0,0.944,0,0
1.211588,0,0.994,0,0,0.944,0,0
1.220707,0,0.994,0,0,0.944,0,0
1.227885,0,0.994,0,0,0.944,0,0
1.236559,0,0.994,0,0,0.944,0,0
1.244124,0,0.994,0,0,0.944,0,0
1.252721,0,0.994,0,0,0.944,0,0
1.260634,0,0.994,0,0,0.944,0,0
1.267618,0,0.994,0,0,0.944,0,0
1.277784,0,0.994,0,0,0.944,0,0
1.291484,0,0.994,0,0,0.944,0,0
1.299516,0,0.994,0,0,0.944,0,0
1.307958,0,0.994,0,0,0.944,0,0
1.315769,0,0.994,0,0,0.944,0,0
1.32494,0,0.994,0,0,0.944,0,0
1.333407,0,0.994,0,0,0.944,0,0
1.340915,0,0.994,0,0,0.944,0,0
