time,closing_door,left_step,opening_door,right_step,saluting,sitting_down,standing_up
0.0094297,0,0.892,0,0,0.945,0,0
0.0229817,0,0.892,0,0,0.945,0,0
0.0334478,0,0.892,0,0,0.973,0,0
0.0420308,0,0.892,0,0,0.973,0,0
0.0513605,0,0.886,0,0,0.976,0,0
0.0591494,0,0.886,0,0,0.976,0,0
0.0664434,0,0.886,0,0,0.98,0,0
0.0737698,0,0.886,0,0,0.98,0,0
0.0822929,0,0.886,0,0,0.984,0,0
0.0908346,0,0.886,0,0,0.984,0,0
0.0973045,0,0.886,0,0,0.986,0,0
0.1049926,0,0.886,0,0,0.987,0,0
0.1134334,0,0.886,0,0,0.989,0,0
0.1226725,0,0.886,0,0,0.955,0,0
0.1305065,0,0.886,0,0,0.986,0,0
0.1391921,0,0.886,0,0,0.986,0,0
0.1485207,0,0.873,0,0,0.989,0,0
0.1608661,0,0.873,0,0,0.991,0,0
0.1740661,0,0.873,0,0,0.992,0,0
0.1859156,0,0.873,0,0,0.989,0,0
0.2046952,0,0.873,0,0,0.976,0,0
0.2160024,0,0.873,0,0,0.976,0,0
0.2231719,0,0.873,0,0,0.976,0,0
0.230819,0,0.873,0,0,0.976,0,0
0.2390486,0,0.873,0,0,0.976,0,0
0.2489415,0,0.874,0,0.818,0.976,0,0
0.2577509,0,0.864,0,0.818,0.976,0,0
0.2664124,0,0.933,0,0.809,0.976,0,0
0.274474,0,0.933,0,0.809,0.976,0,0
0.2835507,0,0.933,0,0.797,0.976,0,0
0.2920675,0,0.933,0,0.797,0.976,0,0
0.3003544,0,0.933,0,0.784,0.976,0,0
0.311285,0,0.933,0,0.784,0.976,0,0
0.3192514,0,0.933,0,0,0.976,0,0
0.3271191,0,0.933,0,0,0.976,0,0
0.3341877,0,0.933,0,0,0.976,0,0
0.3427244,0,0.933,0,0,0.976,0,0
0.3552729,0,0.933,0,0.819,0.976,0,0
0.3646491,0,0.933,0,0.818,0.976,0,0
0.3730133,0,0.933,0,0.808,0.976,0,0
0.3819097,0,0.933,0,0.808,0.976,0,0
0.3921741,0,0.933,0,0.796,0.976,0,0
0.4007866,0,0.933,0,0.782,0.976,0,0
0.409707,0,0.933,0,0.782,0.976,0,0
0.4190951,0,0.933,0,0,0.976,0,0
0.4310054,0,0.933,0,0,0.976,0,0
0.4398805,0,0.933,0,0,0.976,0,0
0.4489205,0,0.933,0,0,0.976,0,0
0.4565724,0,0.933,0,0,0.976,0,0
0.4660818,0,0.933,0,0,0.976,0,0
0.4739363,0,0.933,0,0,0.976,0,0
0.483023,0,0.933,0,0,0.976,0,0
0.492272,0,0.933,0,0,0.976,0,0
0.5007895,0,0.933,0,0,0.976,0,0
0.5146211,0,0.933,0,0,0.976,0,0
0.5265121,0,0.933,0,0,0.976,0,0
0.5342148,0,0.933,0,0,0.976,0,0
0.5443026,0,0.933,0,0,0.976,0,0
0.5525761,0,0.933,0,0,0.976,0,0
0.5615551,0,0.933,0,0,0.976,0,0
0.5716802,0,0.933,0,0,0.976,0,0
0.5795934,0,0.933,0,0,0.976,0,0
0.5895698,0,0.933,0,0,0.976,0,0
0.5981296,0,0.933,0,0,0.976,0,0
0.6062607,0,0.933,0,0,0.976,0,0
0.6136538,0,0.933,0,0,0.976,0,0
0.6221727,0,0.933,0,0,0.976,0,0
0.6300147,0,0.933,0,0,0.976,0,0
0.6377209,0,0.933,0,0,0.976,0,0
0.6450673,0,0.933,0,0,0.976,0,0
0.6542177,0,0.933,0,0,0.976,0,0
0.661878,0,0.933,0,0,0.976,0,0
0.668771,0,0.933,0,0,0.964,0,0
0.6843514,0,0.933,0,0,0.964,0,0
0.6926132,0,0.933,0,0,0.94,0,0
0.7011188,0,0.933,0,0,0.94,0,0
