time,closing_door,left_step,opening_door,right_step,saluting,sitting_down,standing_up
0.0174453,0,0.996,0,0,0.998,0.408,0
0.0299988,0,0.996,0,0,0.998,0.408,0
0.0369242,0,0.996,0,0,0.998,0.408,0
0.0453586,0,0.996,0,0,0.998,0.408,0
0.0550553,0,0.996,0,0,0.998,0.408,0
0.0637284,0,0.996,0,0,0.998,0.408,0
0.0712336,0,0.996,0,0,0.998,0.408,0
0.0833145,0,0.996,0,0,0.998,0.408,0
0.0994632,0,0.996,0,0,0.998,0.408,0
0.1100779,0,0.996,0,0,0.998,0.408,0
0.1179163,0,0.996,0,0,0.998,0.408,0
0.1261599,0,0.996,0,0,0.998,0.408,0
0.1402757,0,0.996,0,0,0.998,0.408,0
0.1497684,0,0.996,0,0,0.998,0.408,0
0.1574418,0,0.996,0,0,0.998,0.408,0
0.1657518,0,0.996,0,0,0.998,0.408,0
0.1762708,0,0.996,0,0,0.998,0.404,0
0.1843954,0,0.996,0,0,0.998,0.404,0
0.1921291,0,0.996,0,0,0.998,0.404,0
0.20225,0,0.996,0,0,0.998,0.404,0
0.2157994,0,0.996,0,0,0.998,0.404,0
0.2248537,0,0.996,0,0,0.998,0.404,0
0.2345849,0,0.996,0,0,0.998,0.404,0
0.2421509,0,0.996,0,0,0.998,0.404,0
0.2503132,0,0.996,0,0,0.999,0.404,0
0.2627506,0,0.996,0,0,1,0.404,0
0.2734571,0,0.996,0,0,0.998,0.404,0
0.2815835,0,0.996,0,0,0.998,0.392,0
0.2899238,0,0.996,0,0,0.998,0.392,0
0.2994245,0,0.947,0,0,0.998,0.392,0
0.3079876,0,0.947,0,0.841,0.998,0.392,0
0.3166134,0,0.947,0,0.841,0.998,0.392,0
0.3249033,0,0.947,0,0.813,0.998,0.392,0
0.3334779,0,0.947,0,0.813,0.998,0.392,0
0.341376,0,0.947,0,0.785,0.998,0.392,0
0.3497664,0,0.947,0,0.785,0.998,0.392,0
0.3588186,0,0.947,0,0,0.998,0.392,0
0.3687804,0,0.947,0,0,0.998,0.392,0
0.3763991,0,0.947,0,0,0.998,0.392,0
0.3848929,0,0.947,0,0,0.998,0.388,0
0.3939727,0,0.947,0,0,0.998,0.388,0
0.4019372,0,0.948,0,0,0.998,0.388,0
0.4104501,0,0.948,0,0,0.998,0.388,0
0.4248929,0,0.948,0,0.806,0.998,0.388,0
0.4343736,0,0.948,0,0.779,0.998,0.388,0
0.4421409,0,0.948,0,0,0.998,0.388,0
0.4519794,0,0.948,0,0,0.998,0.388,0
0.4615737,0,0.948,0,0,0.998,0.388,0
0.4703008,0,0.948,0,0,0.998,0.388,0
0.4797197,0,0.948,0,0,0.998,0.388,0
0.4880082,0,0.948,0,0,0.998,0,0
0.4962107,0,0.948,0,0,0.998,0,0
0.5070886,0,0.948,0,0,0.998,0,0
0.5158315,0,0.948,0,0,0.998,0,0
0.5241663,0,0.948,0,0,0.998,0,0
0.5352852,0,0.948,0,0,0.998,0,0
0.543742,0,0.948,0,0,0.998,0,0
0.5512707,0,0.948,0,0,0.998,0,0
0.5596683,0,0.948,0,0,0.998,0,0
0.5675695,0,0.948,0,0,0.998,0,0
0.5769301,0,0.948,0,0,0.998,0,0
0.5848203,0,0.948,0,0,0.998,0,0
0.592796,0,0.948,0,0,0.998,0,0
0.6007746,0,0.948,0,0,0.998,0,0
0.6138585,0,0.948,0,0,0.998,0,0
0.6228176,0,0.948,0,0,0.998,0,0
0.6306931,0,0.948,0,0.783,0.998,0,0
0.6409311,0,0.948,0,0.786,0.998,0,0
0.65128,0,0.948,0,0,0.998,0,0
0.6596618,0,0.948,0,0,0.998,0,0
0.6690031,0,0.948,0,0,0.998,0,0
0.6764975,0,0.948,0,0,0.998,0,0
0.6849005,0,0.948,0,0,0.998,0,0
0.6932315,0,0.948,0,0,0.998,0,0
0.7016282,0,0.948,0,0,0.998,0,0
0.7111916,0,0.986,0,0,0.998,0,0
0.7198559,0,0.986,0,0,0.998,0,0
0.7297362,0,0.986,0,0.831,0.998,0,0
0.7393371,0,0.986,0,0.84,0.998,0,0
0.7491437,0,0.986,0,0.814,0.998,0,0
0.7573138,0,0.986,0,0.862,0.998,0,0
0.7661072,0,0.986,0,0.835,0.998,0,0
0.7745524,0,0.986,0,0.861,0.998,0,0
0.782115,0,0.986,0,0.833,0.998,0,0
0.790781,0,0.986,0,0.889,0.998,0,0
0.8044463,0,0.986,0,0.89,0.98,0,0
0.8142489,0,0.986,0,0.89,0.98,0,0
0.8262286,0,0.986,0,0.891,0.98,0,0
0.8367199,0,0.986,0,0.945,0.98,0,0
0.8458908,0,0.986,0,0.945,0.98,0,0
0.8572233,0,0.986,0,0.946,0.98,0,0
0.8679595,0,0.986,0,0.946,0.98,0,0
0.8773425,0,0.986,0,0.953,0.98,0,0
0.8857364,0,0.986,0,0.938,0.98,0,0
0.8941956,0,0.986,0,0.966,0.98,0,0
0.902785,0,0.986,0,0.958,0.98,0,0
0.9112616,0,0.986,0,0.986,0.98,0,0
0.9215145,0,0.992,0,0.985,0.98,0,0
0.9308587,0,0.992,0,0.985,0.98,0,0
0.9395728,0,0.992,0,0.95,0.98,0,0
0.9490966,0,0.992,0,0.95,0.98,0,0
0.9617341,0,0.992,0,0.926,0.98,0,0
0.9701856,0,0.992,0,0.945,0.98,0,0
0.9789659,0,0.992,0,0.972,0.98,0,0
0.986442,0,0.992,0,0.996,0.98,0,0
0.9948716,0,0.992,0,0.977,0.98,0,0
1.004312,0,0.992,0,0.95,0.98,0,0
1.016315,0,0.992,0,0.922,0.98,0,0
1.025788,0,0.992,0,0.888,0.98,0,0
1.035311,0,0.992,0,0.899,0.98,0,0
1.04515,0,0.992,0,0.975,0.98,0,0
1.058922,0,0.992,0,0.948,0.98,0,0
1.068234,0,0.992,0,0.922,0.98,0,0
1.076775,0,0.992,0,0.929,0.98,0,0
1.08569,0,0.992,0,0.933,0.98,0,0
1.094095,0,0.992,0,0.964,0.98,0,0
1.102095,0,0.992,0,0.967,0.98,0,0
1.111028,0,0.992,0,0.994,0.98,0,0
1.127043,0,0.992,0,0.995,0.98,0,0
1.135722,0,0.992,0,0.972,0.98,0,0
1.147918,0,0.992,0,0.992,0.98,0,0
1.159205,0,0.998,0,0.942,0.98,0,0
1.170188,0,0.998,0,0.923,0.98,0,0
1.179652,0,0.998,0,0,0.98,0,0
1.1874,0,0.998,0,0,0.98,0,0
1.195706,0,0.998,0,0,0.98,0,0
1.204361,0,0.998,0,0,0.98,0,0
1.213971,0,0.998,0,0,0.961,0,0
1.222026,0,0.998,0,0,0.965,0,0
1.231153,0,0.998,0,0,0.965,0,0
1.239137,0,0.998,0,0,0.965,0,0
1.248359,0,0.998,0,0,0.965,0,0
1.255984,0,0.998,0,0,0.965,0,0
1.264993,0,0.998,0,0,0.965,0,0
1.277381,0,0.998,0,0,0.965,0,0
1.293756,0,0.998,0,0,0.965,0,0
1.303221,0,0.998,0,0,0.965,0,0
1.314563,0,0.998,0,0,0.965,0,0
1.323503,0,0.998,0,0,0.965,0,0
1.334147,0,0.998,0,0,0.965,0,0
1.342562,0,0.998,0,0,0.965,0,0
1.352559,0,0.998,0,0,0.965,0,0
1.36115,0,0.998,0,0,0.965,0,0
1.369162,0,0.998,0,0,0.965,0,0
1.381259,0,0.998,0,0,0.965,0,0
1.390215,0,0.998,0,0,0.965,0,0
1.397695,0,0.998,0,0,0.965,0,0
1.407324,0,0.998,0,0,0.965,0,0
1.416181,0,0.998,0,0,0.965,0,0
1.424201,0,0.998,0,0,0.965,0,0
1.432867,0,0.998,0,0,0.965,0,0
1.440856,0,0.998,0,0,0.965,0,0
1.449284,0,0.998,0,0,0.965,0,0
1.461794,0,0.998,0,0,0.965,0,0
1.469774,0,0.998,0,0,0.965,0,0
1.480742,0,0.998,0,0,0.965,0,0
1.49032,0,0.998,0,0,0.965,0,0
1.499127,0,0.998,0,0,0.965,0,0
1.507015,0,0.998,0,0,0.965,0,0
1.515833,0,0.998,0,0,0.965,0,0
1.523185,0,0.998,0,0,0.965,0,0
1.532225,0,0.998,0,0,0.965,0,0
1.540974,0,0.998,0,0,0.965,0,0
1.550177,0,0.998,0,0,0.965,0,0
1.558354,0,0.998,0,0,0.965,0,0
1.566047,0,0.998,0,0,0.965,0,0
1.574461,0,0.998,0,0,0.965,0,0
1.582903,0,0.998,0,0,0.965,0,0
1.593753,0,0.998,0,0,0.965,0,0
1.601938,0,0.998,0,0,0.965,0,0
1.610364,0,0.998,0,0,0.965,0,0
1.618587,0,0.998,0,0,0.965,0,0
1.631278,0,0.998,0,0,0.965,0,0
1.640589,0,0.998,0,0,0.965,0,0
1.649057,0,0.998,0,0,0.965,0,0
1.656715,0,0.998,0,0,0.965,0,0
1.66455,0,0.998,0,0,0.965,0,0
1.674221,0,0.998,0,0,0.965,0,0
1.682334,0,0.998,0,0,0.965,0,0
1.691111,0,0.998,0,0,0.965,0,0
1.699202,0,0.998,0,0,0.965,0,0
1.710083,0,0.998,0,0,0.965,0,0
1.718494,0,0.998,0,0,0.965,0,0
1.726223,0,0.998,0,0,0.973,0,0
1.73525,0,0.998,0,0,0.973,0,0
1.743987,0,0.998,0,0,0.976,0,0
1.752517,0,0.998,0,0,0.973,0,0
1.761977,0,0.998,0,0.784,0.973,0,0
1.771706,0,0.998,0,0.787,0.973,0,0
1.78008,0,0.987,0,0,0.973,0,0
1.794416,0,0.987,0,0,0.973,0,0
1.802769,0,0.987,0,0,0.974,0,0
1.811975,0,0.987,0,0,0.973,0,0
1.819924,0,0.987,0,0,0.973,0,0
1.828703,0,0.987,0,0,0.974,0,0
1.836971,0,0.987,0,0,0.976,0,0
1.845056,0,0.987,0,0,0.976,0,0
1.854086,0,0.998,0,0,0.977,0,0
1.863752,0,0.998,0,0.792,0.985,0,0
1.874494,0,0.986,0,0.791,0.985,0,0
1.884345,0,0.986,0,0,0.985,0,0
1.893733,0,0.988,0,0,0.985,0,0
1.902432,0,0.988,0,0,0.985,0,0
1.911674,0,0.998,0,0,0.985,0,0
1.922152,0,0.988,0,0,0.985,0,0
1.930734,0,0.986,0,0,0.986,0,0
1.947803,0,0.986,0,0,0.986,0,0
1.958945,0,0.998,0,0,0.996,0,0
1.967396,0,0.998,0,0,0.996,0,0
1.976361,0,0.986,0,0.791,0.996,0,0
1.985797,0,0.985,0,0,0.996,0,0
1.995117,0,0.985,0,0,0.996,0,0
2.005878,0,0.985,0,0,0.996,0,0
2.014942,0,0.985,0,0,0.996,0,0
2.023481,0,0.988,0,0,0.996,0,0
2.0321,0,0.988,0,0,0.996,0,0
2.042321,0,0.985,0,0,0.996,0,0
2.051023,0,0.985,0,0,0.996,0,0
2.059717,0,0.985,0,0,0.996,0,0
2.069248,0,0.985,0,0.806,0.996,0,0
2.080196,0,0.985,0,0.806,0.996,0,0
2.088507,0,0.999,0,0.779,0.996,0,0
2.103195,0,0.924,0,0,0.996,0,0
2.113253,0,0.924,0,0,0.996,0,0
2.122518,0,0.865,0,0,0.996,0,0
2.13438,0,0.865,0,0,0.996,0,0
2.142612,0,0.865,0,0,0.996,0,0
2.151273,0,0.865,0,0,0.996,0,0
2.159101,0,0.865,0,0,0.996,0,0
